"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","236","createOrderWithoutIngredientsShouldReturn400","","2026-03-28","passed","2026-03-28","","praktikum.CreateOrderTest","praktikum.CreateOrderTest","createOrderWithoutIngredientsShouldReturn400"
"","1471","loginWithInvalidPasswordShouldReturn401","","2026-03-28","passed","2026-03-28","","praktikum.LoginUserTest","praktikum.LoginUserTest","loginWithInvalidPasswordShouldReturn401"
"","190","createUserWithoutRequiredFieldShouldReturn403[Отсутствует поле: password]","","2026-03-28","passed","2026-03-28","","praktikum.RegisterUserRequiredFieldTest","praktikum.RegisterUserRequiredFieldTest","createUserWithoutRequiredFieldShouldReturn403[Отсутствует поле: password]"
"","1179","createUniqueUserShouldReturnSuccess","","2026-03-28","passed","2026-03-28","","praktikum.RegisterUserTest","praktikum.RegisterUserTest","createUniqueUserShouldReturnSuccess"
"","1498","loginWithExistingUserShouldReturnSuccess","","2026-03-28","passed","2026-03-28","","praktikum.LoginUserTest","praktikum.LoginUserTest","loginWithExistingUserShouldReturnSuccess"
"","1305","createDuplicateUserShouldReturn403","","2026-03-28","passed","2026-03-28","","praktikum.RegisterUserTest","praktikum.RegisterUserTest","createDuplicateUserShouldReturn403"
"","254","createOrderWithInvalidIngredientHashShouldReturn400","","2026-03-28","passed","2026-03-28","","praktikum.CreateOrderTest","praktikum.CreateOrderTest","createOrderWithInvalidIngredientHashShouldReturn400"
"","825","createOrderWithIngredientsShouldReturnSuccess","","2026-03-28","passed","2026-03-28","","praktikum.CreateOrderTest","praktikum.CreateOrderTest","createOrderWithIngredientsShouldReturnSuccess"
"","261","createUserWithoutRequiredFieldShouldReturn403[Отсутствует поле: name]","","2026-03-28","passed","2026-03-28","","praktikum.RegisterUserRequiredFieldTest","praktikum.RegisterUserRequiredFieldTest","createUserWithoutRequiredFieldShouldReturn403[Отсутствует поле: name]"
"","187","createUserWithoutRequiredFieldShouldReturn403[Отсутствует поле: email]","","2026-03-28","passed","2026-03-28","","praktikum.RegisterUserRequiredFieldTest","praktikum.RegisterUserRequiredFieldTest","createUserWithoutRequiredFieldShouldReturn403[Отсутствует поле: email]"
"","5306","createOrderWithAuthorizationShouldReturnSuccess","","2026-03-28","passed","2026-03-28","","praktikum.CreateOrderTest","praktikum.CreateOrderTest","createOrderWithAuthorizationShouldReturnSuccess"
"","3950","createOrderWithoutAuthorizationShouldReturnSuccess","","2026-03-28","passed","2026-03-28","","praktikum.CreateOrderTest","praktikum.CreateOrderTest","createOrderWithoutAuthorizationShouldReturnSuccess"
